ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod_add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,first_flr_sf,second_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,three_season_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,mo_sold,year_sold,sale_type,sale_condition,sale_price,longitude,latitude
TWO_STORY_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,78,9978,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,GILBERT,NORM,NORM,ONEFAM,TWO_STORY,ABOVE_AVERAGE,ABOVE_AVERAGE,1998,1998,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,20,TYPICAL,TYPICAL,PCONC,TYPICAL,TYPICAL,NO,GLQ,3,UNF,0,324,926,GASA,EXCELLENT,Y,SBRKR,926,678,0,1604,0,0,2,1,3,1,GOOD,7,TYP,1,GOOD,ATTCHD,FIN,2,470,TYPICAL,TYPICAL,PAVED,360,36,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,195500,-93.638925,42.060779
TWO_STORY_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,60,7500,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,GILBERT,NORM,NORM,ONEFAM,TWO_STORY,GOOD,AVERAGE,1999,1999,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,TYPICAL,TYPICAL,PCONC,TYPICAL,TYPICAL,NO,UNF,7,UNF,0,994,994,GASA,GOOD,Y,SBRKR,1028,776,0,1804,0,0,2,1,3,1,GOOD,7,TYP,1,TYPICAL,ATTCHD,FIN,2,442,TYPICAL,TYPICAL,PAVED,140,60,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,189000,-93.639068,42.059193
ONE_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,0,6820,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,CORNER,GTL,STONE_BROOK,NORM,NORM,TWNHSE,ONE_STORY,VERY_GOOD,AVERAGE,1985,1985,GABLE,COMPSHG,HDBOARD,HDBOARD,NONE,0,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,AV,GLQ,3,BLQ,1120,0,1488,GASA,TYPICAL,Y,SBRKR,1502,0,0,1502,1,0,1,1,1,1,GOOD,4,TYP,0,NO_FIREPLACE,ATTCHD,RFN,2,528,TYPICAL,TYPICAL,PAVED,0,54,0,0,140,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,212000,-93.632913,42.059169
TWO_STORY_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,47,53504,PAVE,NO_ALLEY_ACCESS,MODERATELY_IRREGULAR,HLS,ALLPUB,CULDSAC,MOD,STONE_BROOK,NORM,NORM,ONEFAM,TWO_STORY,VERY_GOOD,AVERAGE,2003,2003,HIP,COMPSHG,CEMNTBD,WD_SHNG,BRKFACE,603,EXCELLENT,TYPICAL,PCONC,GOOD,TYPICAL,GD,ALQ,1,UNF,0,234,1650,GASA,EXCELLENT,Y,SBRKR,1690,1589,0,3279,1,0,3,1,4,1,EXCELLENT,12,MOD,1,GOOD,BUILTIN,FIN,3,841,TYPICAL,TYPICAL,PAVED,503,36,0,0,210,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,538000,-93.62655,42.061239
ONE_AND_HALF_STORY_FINISHED_ALL_AGES,RESIDENTIAL_LOW_DENSITY,152,12134,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,BNK,ALLPUB,INSIDE,MOD,GILBERT,NORM,NORM,ONEFAM,ONE_AND_HALF_FIN,VERY_GOOD,GOOD,1988,2005,GABLE,COMPSHG,WD_SDNG,WD_SDNG,NONE,0,GOOD,TYPICAL,WOOD,GOOD,TYPICAL,AV,GLQ,3,UNF,0,132,559,GASA,GOOD,Y,SBRKR,1080,672,0,1752,0,0,2,0,4,1,TYPICAL,8,TYP,0,NO_FIREPLACE,BASMENT,RFN,2,492,TYPICAL,TYPICAL,PAVED,325,12,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,164000,-93.6235954,42.0603514
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,88,11394,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,CORNER,GTL,STONE_BROOK,NORM,NORM,ONEFAM,ONE_STORY,EXCELLENT,POOR,2010,2010,HIP,COMPSHG,VINYLSD,VINYLSD,STONE,350,GOOD,TYPICAL,PCONC,EXCELLENT,TYPICAL,AV,GLQ,3,UNF,0,411,1856,GASA,EXCELLENT,Y,SBRKR,1856,0,0,1856,1,0,1,1,1,1,EXCELLENT,8,TYP,1,EXCELLENT,ATTCHD,FIN,3,834,TYPICAL,TYPICAL,PAVED,113,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,NEW,PARTIAL,394432,-93.628804,42.05885
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,140,19138,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,CORNER,GTL,GILBERT,NORM,NORM,ONEFAM,ONE_STORY,BELOW_AVERAGE,AVERAGE,1951,1951,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,LWQ,4,UNF,0,744,864,GASA,EXCELLENT,Y,SBRKR,864,0,0,864,0,0,1,0,2,1,TYPICAL,4,TYP,0,NO_FIREPLACE,DETCHD,UNF,2,400,TYPICAL,TYPICAL,PAVED,0,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,141000,-93.622971,42.056673
ONE_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_HIGH_DENSITY,26,5858,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,FR2,GTL,NORTH_AMES,NORM,NORM,TWNHSE,ONE_STORY,GOOD,AVERAGE,1999,1999,GABLE,COMPSHG,METALSD,METALSD,NONE,0,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,NO,GLQ,3,BLQ,0,354,1405,GASA,EXCELLENT,Y,SBRKR,1337,0,0,1337,1,0,2,0,2,1,GOOD,5,TYP,1,FAIR,ATTCHD,FIN,2,511,TYPICAL,TYPICAL,PAVED,203,68,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,184000,-93.624373,42.055318
TWO_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,24,2280,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,FR2,GTL,NORTHPARK_VILLA,NORM,NORM,TWNHS,TWO_STORY,ABOVE_AVERAGE,ABOVE_AVERAGE,1975,1975,GABLE,COMPSHG,PLYWOOD,BRK_CMN,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,ALQ,1,UNF,0,341,855,GASA,TYPICAL,Y,SBRKR,855,601,0,1456,0,0,2,1,3,1,GOOD,6,TYP,1,TYPICAL,ATTCHD,UNF,2,440,TYPICAL,TYPICAL,PAVED,173,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,149900,-93.625924,42.050683
ONE_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,24,2280,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,FR2,GTL,NORTHPARK_VILLA,NORM,NORM,TWNHS,ONE_STORY,GOOD,ABOVE_AVERAGE,1975,1975,GABLE,COMPSHG,PLYWOOD,BRK_CMN,NONE,0,TYPICAL,TYPICAL,CBLOCK,GOOD,TYPICAL,NO,UNF,7,UNF,0,836,836,GASA,EXCELLENT,Y,SBRKR,836,0,0,836,0,0,1,0,2,1,TYPICAL,4,TYP,0,NO_FIREPLACE,ATTCHD,UNF,1,308,TYPICAL,TYPICAL,PAVED,0,30,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,120000,-93.625966,42.050681
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,94,12883,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,CORNER,GTL,NORTHRIDGE_HEIGHTS,NORM,NORM,ONEFAM,ONE_STORY,VERY_GOOD,AVERAGE,2009,2010,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,256,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,NO,UNF,7,UNF,0,1544,1544,GASA,EXCELLENT,Y,SBRKR,1544,0,0,1544,0,0,2,0,3,1,GOOD,7,TYP,0,NO_FIREPLACE,ATTCHD,RFN,3,868,TYPICAL,TYPICAL,PAVED,0,35,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,NEW,PARTIAL,290941,-93.6528306,42.0612885
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,90,11520,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHRIDGE_HEIGHTS,POSN,NORM,ONEFAM,ONE_STORY,EXCELLENT,AVERAGE,2005,2005,HIP,COMPSHG,VINYLSD,VINYLSD,BRKFACE,615,GOOD,TYPICAL,PCONC,EXCELLENT,TYPICAL,NO,GLQ,3,UNF,0,1588,1698,GASA,EXCELLENT,Y,SBRKR,1698,0,0,1698,0,0,2,0,3,1,EXCELLENT,7,TYP,1,GOOD,ATTCHD,FIN,3,730,TYPICAL,TYPICAL,PAVED,192,74,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,275000,-93.65332,42.0608079
ONE_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,44,6371,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHRIDGE_HEIGHTS,NORM,NORM,TWNHSE,ONE_STORY,GOOD,AVERAGE,2009,2010,GABLE,COMPSHG,VINYLSD,VINYLSD,STONE,128,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,MN,GLQ,3,UNF,0,625,1358,GASA,EXCELLENT,Y,SBRKR,1358,0,0,1358,1,0,2,0,2,1,GOOD,6,TYP,1,GOOD,ATTCHD,RFN,2,484,TYPICAL,TYPICAL,PAVED,192,35,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,NEW,PARTIAL,224000,-93.650436,42.058388
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,110,14300,PAVE,NO_ALLEY_ACCESS,REGULAR,HLS,ALLPUB,INSIDE,MOD,NORTHRIDGE_HEIGHTS,NORM,NORM,ONEFAM,ONE_STORY,EXCELLENT,AVERAGE,2003,2004,HIP,COMPSHG,VINYLSD,VINYLSD,BRKFACE,1095,EXCELLENT,TYPICAL,PCONC,EXCELLENT,TYPICAL,GD,GLQ,3,UNF,0,1473,2846,GASA,EXCELLENT,Y,SBRKR,2696,0,0,2696,1,0,2,1,3,1,EXCELLENT,10,TYP,2,GOOD,ATTCHD,FIN,3,958,TYPICAL,TYPICAL,PAVED,220,150,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,500000,-93.656067,42.058599
TWO_STORY_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,105,13650,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,CORNER,GTL,NORTHRIDGE_HEIGHTS,NORM,NORM,ONEFAM,TWO_STORY,VERY_GOOD,AVERAGE,2002,2002,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,232,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,GD,GLQ,3,UNF,0,1093,1671,GASA,EXCELLENT,Y,SBRKR,1687,563,0,2250,1,0,2,1,3,1,GOOD,7,TYP,1,EXCELLENT,ATTCHD,FIN,3,756,TYPICAL,TYPICAL,PAVED,238,130,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,320000,-93.654853,42.057102
TWO_STORY_PUD_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,36,2628,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHRIDGE_HEIGHTS,NORM,NORM,TWNHS,TWO_STORY,GOOD,AVERAGE,2003,2003,GABLE,COMPSHG,VINYLSD,WD_SHNG,STONE,106,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,NO,UNF,7,UNF,0,764,764,GASA,EXCELLENT,Y,SBRKR,764,862,0,1626,0,0,2,1,2,1,GOOD,6,TYP,0,NO_FIREPLACE,BUILTIN,RFN,2,474,TYPICAL,TYPICAL,PAVED,0,27,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,175500,-93.651013,42.057181
SPLIT_OR_MULTILEVEL,RESIDENTIAL_LOW_DENSITY,67,13300,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,GILBERT,NORM,NORM,ONEFAM,SLVL,GOOD,AVERAGE,2004,2004,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,NO,GLQ,3,UNF,0,58,384,GASA,EXCELLENT,Y,SBRKR,744,630,0,1374,1,0,2,1,3,1,GOOD,7,TYP,1,GOOD,BUILTIN,FIN,2,400,TYPICAL,TYPICAL,PAVED,100,0,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,184500,-93.644076,42.061443
TWO_STORY_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,58,16770,PAVE,NO_ALLEY_ACCESS,MODERATELY_IRREGULAR,LVL,ALLPUB,CULDSAC,GTL,NORTHRIDGE,NORM,NORM,ONEFAM,TWO_STORY,GOOD,AVERAGE,1998,1998,GABLE,COMPSHG,VINYLSD,VINYLSD,BRKFACE,30,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,NO,UNF,7,UNF,0,1195,1195,GASA,GOOD,Y,SBRKR,1195,644,0,1839,0,0,2,1,4,1,TYPICAL,7,TYP,0,NO_FIREPLACE,ATTCHD,FIN,2,486,TYPICAL,TYPICAL,PAVED,0,81,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,221000,-93.650578,42.052437
TWO_STORY_1946_AND_NEWER,FLOATING_VILLAGE_RESIDENTIAL,72,8640,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,INSIDE,GTL,SOMERSET,NORM,NORM,ONEFAM,TWO_STORY,GOOD,AVERAGE,2009,2009,GABLE,COMPSHG,VINYLSD,VINYLSD,NONE,0,TYPICAL,TYPICAL,PCONC,GOOD,TYPICAL,MN,GLQ,3,UNF,0,732,756,GASA,EXCELLENT,Y,SBRKR,764,783,0,1547,0,0,2,1,3,1,GOOD,7,TYP,0,NO_FIREPLACE,ATTCHD,UNF,2,614,TYPICAL,TYPICAL,PAVED,169,45,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,CON,NORMAL,215200,-93.650318,42.051653
SPLIT_FOYER,RESIDENTIAL_LOW_DENSITY,88,11782,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,SAWYER,NORM,NORM,ONEFAM,SFOYER,AVERAGE,GOOD,1961,1995,GABLE,COMPSHG,HDBOARD,HDBOARD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,AV,ALQ,1,UNF,0,210,1109,GASA,TYPICAL,Y,SBRKR,1155,0,0,1155,1,0,1,0,3,1,GOOD,6,MIN2,0,NO_FIREPLACE,DETCHD,UNF,2,576,TYPICAL,TYPICAL,PAVED,192,0,0,0,0,0,NO_POOL,MINIMUM_PRIVACY,SHED,6,2010,WD,NORMAL,148000,-93.673669,42.034793
ONE_STORY_1946_AND_NEWER_ALL_STYLES,RESIDENTIAL_LOW_DENSITY,75,7500,PAVE,NO_ALLEY_ACCESS,REGULAR,LVL,ALLPUB,CORNER,GTL,SAWYER,FEEDR,NORM,ONEFAM,ONE_STORY,AVERAGE,AVERAGE,1963,1963,GABLE,COMPSHG,HDBOARD,HDBOARD,NONE,0,TYPICAL,TYPICAL,CBLOCK,TYPICAL,TYPICAL,NO,ALQ,1,UNF,0,216,1040,GASA,FAIR,Y,SBRKR,1040,0,0,1040,1,0,1,1,3,1,TYPICAL,5,TYP,0,NO_FIREPLACE,ATTCHD,FIN,1,308,TYPICAL,TYPICAL,PAVED,0,0,220,0,0,0,NO_POOL,MINIMUM_PRIVACY,NONE,6,2010,WD,NORMAL,133000,-93.672067,42.03457
TWO_STORY_1946_AND_NEWER,RESIDENTIAL_LOW_DENSITY,107,10186,PAVE,NO_ALLEY_ACCESS,SLIGHTLY_IRREGULAR,LVL,ALLPUB,INSIDE,GTL,NORTHRIDGE,NORM,NORM,ONEFAM,TWO_STORY,GOOD,AVERAGE,1992,1992,GABLE,COMPSHG,HDBOARD,HDBOARD,NONE,0,GOOD,TYPICAL,PCONC,GOOD,TYPICAL,NO,GLQ,3,UNF,0,76,750,GASA,EXCELLENT,Y,SBRKR,1061,862,0,1923,1,0,2,1,3,1,GOOD,8,TYP,1,TYPICAL,ATTCHD,RFN,2,564,TYPICAL,TYPICAL,PAVED,240,39,0,0,0,0,NO_POOL,NO_FENCE,NONE,6,2010,WD,NORMAL,190000,-93.646749,42.048253
